1;Abdulrahman Al-Jassim;14/10/1987;QAT
2;Chris Beath;11/11/1984;AUS
3;Alireza Faghani;21/03/1978;IRN
4;Ma Ning;14/06/1979;CHN
5;Mohammed Abdulla Mohammed;02/12/1978;UAE
6;Yoshimi Yamashita;20/02/1986;JPN
7;Bakary Gassama;10/02/1977;GAM
8;Mustapha Ghorbal;19/08/1985;ALG
9;Victor Gomes;15/12/1982;RSA
10;Maguette N'Diaye;01/09/1986;SEN
11;Janny Sikazwe;26/05/1979;ZAM
12;Salima Mukansanga;25/07/1988;RWA
13;Iván Barton;27/01/1991;SLV
14;Ismail Elfath;03/03/1982;USA
15;Mario Escobar;19/09/1986;GUA
16;Said Martínez;07/08/1991;HON
17;César Arturo Ramos;15/12/1983;MEX
18;Raphael Claus;06/09/1979;BRA
19;Andrés Matonte;30/03/1988;URU
20;Kevin Ortega;26/03/1992;PER
21;Fernando Rapallini;28/04/1978;ARG
22;Wilton Sampaio;28/12/1981;BRA
23;Facundo Tello;04/05/1982;ARG
24;Jesús Valenzuela;24/11/1983;VEN
25;Matthew Conger;11/10/1978;NZL
26;István Kovács;16/09/1984;ROU
27;Danny Makkelie;28/01/1983;NED
28;Szymon Marciniak;07/01/1981;POL
29;Antonio Mateu Lahoz;12/03/1977;ESP
30;Michael Oliver;20/02/1985;ENG
31;Daniele Orsato;23/11/1975;ITA
32;Daniel Siebert;04/05/1984;GER
33;Anthony Taylor;20/10/1978;ENG
34;Clément Turpin;16/05/1982;FRA
35;Slavko Vinčić;25/11/1979;SVN
36;Stéphanie Frappart;14/12/1983;FRA
