ECU;1;GK;Hernán Galíndez;30/03/1987
ECU;2;DF;Félix Torres;11/01/1997
ECU;3;DF;Piero Hincapié;09/01/2002
ECU;4;DF;Robert Arboleda;22/12/1991
ECU;5;MF;José Cifuentes;12/03/1999
ECU;6;DF;Willian Pacho;16/12/2001
ECU;7;DF;Pervis Estupiñán;21/01/1998
ECU;8;MF;Carlos Gruezo;19/04/1995
ECU;9;MF;Ayrton Preciado;17/07/1994
ECU;10;MF;Romario Ibarra;24/09/1994
ECU;11;FW;Michael Estrada;07/04/1996
ECU;12;GK;Moisés Ramírez;09/09/2000
ECU;13;FW;Enner Valencia;04/11/1989
ECU;14;DF;Xavier Arreaga;28/09/1994
ECU;15;MF;Ángel Mena;21/01/1988
ECU;16;MF;Jeremy Sarmiento;16/06/2002
ECU;17;DF;Ángelo Preciado;18/02/1998
ECU;18;DF;Diego Palacios;12/07/1999
ECU;19;MF;Gonzalo Plata;01/11/2000
ECU;20;MF;Sebas Méndez;26/04/1997
ECU;21;MF;Alan Franco;21/08/1998
ECU;22;GK;Alexander Domínguez;05/06/1987
ECU;23;MF;Moisés Caicedo;02/11/2001
ECU;24;FW;Djorkaeff Reasco;18/01/1999
ECU;25;DF;Jackson Porozo;04/08/2000
ECU;26;FW;Kevin Rodríguez;04/03/2000
NED;1;GK;Remko Pasveer;08/11/1983
NED;2;DF;Jurriën Timber;17/06/2001
NED;3;DF;Matthijs de Ligt;12/08/1999
NED;4;DF;Virgil van Dijk;08/07/1991
NED;5;DF;Nathan Aké;18/02/1995
NED;6;DF;Stefan de Vrij;05/02/1992
NED;7;FW;Steven Bergwijn;08/12/1997
NED;8;FW;Cody Gakpo;07/05/1999
NED;9;FW;Luuk de Jong;27/08/1990
NED;10;FW;Memphis Depay;13/02/1994
NED;11;MF;Steven Berghuis;19/12/1991
NED;12;FW;Noa Lang;17/06/1999
NED;13;GK;Justin Bijlow;22/01/1998
NED;14;MF;Davy Klaassen;21/02/1993
NED;15;MF;Marten de Roon;29/03/1991
NED;16;DF;Tyrell Malacia;17/08/1999
NED;17;DF;Daley Blind;09/03/1990
NED;18;FW;Vincent Janssen;15/06/1994
NED;19;FW;Wout Weghorst;07/08/1992
NED;20;MF;Teun Koopmeiners;28/02/1998
NED;21;MF;Frenkie de Jong;12/05/1997
NED;22;DF;Denzel Dumfries;18/04/1996
NED;23;GK;Andries Noppert;07/04/1994
NED;24;MF;Kenneth Taylor;16/05/2002
NED;25;MF;Xavi Simons;21/04/2003
NED;26;DF;Jeremie Frimpong;10/12/2000
QAT;1;GK;Saad Al-Sheeb;19/02/1990
QAT;2;DF;Ró-Ró;06/08/1990
QAT;3;MF;Abdelkarim Hassan;28/08/1993
QAT;4;DF;Mohammed Waad;18/09/1999
QAT;5;DF;Tarek Salman;05/12/1997
QAT;6;MF;Abdulaziz Hatem;01/01/1990
