Catar;QAT;AFC
Equador;ECU;CONMEBOL
Senegal;SEN;CAF
Países Baixos;NED;UEFA
Inglaterra;ENG;UEFA
Irã;IRN;AFC
Estados Unidos;USA;CONCACAF
País de Gales;WAL;UEFA
Argentina;ARG;CONMEBOL
Arábia Saudita;KSA;AFC
México;MEX;CONCACAF
Polônia;POL;UEFA
França;FRA;UEFA
Austrália;AUS;AFC
Dinamarca;DEN;UEFA
Tunísia;TUN;CAF
Espanha;ESP;UEFA
Costa Rica;CRC;CONCACAF
Alemanha;GER;UEFA
Japão;JPN;AFC
Bélgica;BEL;UEFA
Canada;CAN;CONCACAF
Marrocos;MAR;CAF
Croácia;CRO;UEFA
Brasil;BRA;CONMEBOL
Sérvia;SRB;UEFA
Suíça;SUI;UEFA
Camarões;CMR;CAF
Portugal;POR;UEFA
Gana;GHA;CAF
Uruguai;URU;CONMEBOL
Coréia do Sul;KOR;AFC
China;CHN;AFC
Emirados Árabes Unidos;UAE;AFC
Gâmbia;GAM;CAF
Argélia;ALG;CAF
África do Sul;RSA;CAF
Zâmbia;ZAM;CAF
Ruanda;RWA;CAF
El Salvador;SLV;CONCACAF
Guatemala;GUA;CONCACAF
Honduras;HON;CONCACAF
Peru;PER;CONMEBOL
Venezuela;VEN;CONMEBOL
Nova Zelândia;NZL;OFC
Romênia;ROU;UEFA
Itália;ITA;UEFA
Eslovênia;SVN;UEFA
Colômbia;COL;CONMEBOL
